OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
50,15112,EAST PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.406067,-79.83876378, ,1830,154,1595,81,141,1.9.3,12,{5B39C659-1E8C-4F25-AAA4-DCE9E7E6C0B6},22348819.98,30176.05391,2650
55,15129,SOUTH PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.29378767,-79.9950397, ,4690,836,3674,180,183,1.9.3,16,{5F1C6CBE-D261-464A-9F1D-673D4D5F1533},225518233.2,95746.6777,10260
56,15131,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32513782,-79.80337403, ,3997,557,3440,0,286,1.9.3,8,{FA436401-5594-4ACC-9EDF-7B2AC0984C11},191887128.7,101771.8766,7280
57,15132,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3392329,-79.84240455, ,9746,1144,8558,44,722,1.9.3,0,{0AD7F458-B319-4527-B1DB-235637FB63F6},175066843.1,89826.7393,14700
58,15133,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32924545,-79.86396125, ,2949,121,2828,0,62,1.9.3,1,{D38FA47F-3240-46A4-9096-2A896FB4B4A6},96766099.84,54365.23993,5460
59,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.30216627,-79.81469332, ,2192,280,1879,33,93,1.9.3,5,{760085A3-2A1B-44A4-9858-AEA6311684E9},109251869.4,78058.47862,4510
61,15137,NORTH VERSAILLES,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3780742,-79.80876604, ,5010,788,4114,108,384,1.9.3,15,{357A761E-C584-47FB-854E-E8C91C75BE69},219999450.5,109221.5236,8540
66,15144,SPRINGDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.54658212,-79.78534981, ,1976,159,1789,28,143,1.9.3,10,{17187878-280E-4EB3-A513-BC21F819466A},73813100.19,52560.09136,3580
70,15148,WILMERDING,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39963912,-79.81058502, ,1416,216,1166,34,109,1.9.3,5,{17E6865C-36C0-4B7C-9809-3D8720059F19},38116626.49,47791.78131,1860
73,15203,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.42585758,-79.97513245, ,5709,733,4799,177,888,1.9.3,12,{9B363D48-EAE2-4F39-AD8F-22506F5C60AA},48187458.35,46998.86723,6410
81,15211,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43077203,-80.0151459, ,5893,901,4922,70,206,1.9.3,10,{4947BA7C-BC90-4825-B540-DA3311566C49},43394972.35,35501.91043,8560
83,15213,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4430908,-79.95520627, ,11666,6940,4487,239,947,1.9.3,6,{EAF54ABC-E455-4BCB-B221-D579E1242754},76390588.09,62893.15956,7230
94,15224,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.46426325,-79.94511825, ,5113,845,4063,205,495,1.9.3,0,{38CD0F50-BE92-4378-A4FA-018342B795B0},27720746.45,34234.03032,7630
